Geo_FIPS,Geo_NAME,Geo_QNAME,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CT,Geo_BG,Geo_CITY,Geo_MSAMSA,Geo_ZC,ORG_TRANSPORT1,ORG_VEHPURCH,ORG_GAS,ORG_OTHRVEH,ORG_PUBTRANS
"530330056004","530330056004","530330056004, 53033005600, King, Washington","00","53","033","005600","4",,,,9007.1,3660.4,1523.8,2802.1,1110.4
"530330056005","530330056005","530330056005, 53033005600, King, Washington","00","53","033","005600","5",,,,9539.6,3873.4,1672.4,2975.9,1085.8
"530330057001","530330057001","530330057001, 53033005700, King, Washington","00","53","033","005700","1",,,,3204.7,1288,552.9,995.8,394.1
"530330057002","530330057002","530330057002, 53033005700, King, Washington","00","53","033","005700","2",,,,8174.2,3329.2,1422.2,2549.4,924.6
"530330057003","530330057003","530330057003, 53033005700, King, Washington","00","53","033","005700","3",,,,6560.3,2689.9,1163.5,2049.9,671.1
"530330057004","530330057004","530330057004, 53033005700, King, Washington","00","53","033","005700","4",,,,8061.7,3273.1,1423.3,2511.1,880.6
"530330057005","530330057005","530330057005, 53033005700, King, Washington","00","53","033","005700","5",,,,7657.2,3091.3,1393.4,2417.9,799.1
"530330057006","530330057006","530330057006, 53033005700, King, Washington","00","53","033","005700","6",,,,9978.4,4029.6,1808.2,3143.6,1028.9
"530330058011","530330058011","530330058011, 53033005801, King, Washington","00","53","033","005801","1",,,,7751.5,3136,1446.6,2456.2,700.5
"530330058012","530330058012","530330058012, 53033005801, King, Washington","00","53","033","005801","2",,,,10356.9,4162,1984.3,3317.6,867.6
"530330058013","530330058013","530330058013, 53033005801, King, Washington","00","53","033","005801","3",,,,9373.3,3803.3,1698.7,2969.2,919.7
"530330058014","530330058014","530330058014, 53033005801, King, Washington","00","53","033","005801","4",,,,7775.4,3133,1468.1,2480.1,686.8
"530330058021","530330058021","530330058021, 53033005802, King, Washington","00","53","033","005802","1",,,,10287.8,4169.2,1907.9,3251.2,959.2
"530330058022","530330058022","530330058022, 53033005802, King, Washington","00","53","033","005802","2",,,,13226.5,5350.1,2489.9,4229.2,1134.8
"530330058023","530330058023","530330058023, 53033005802, King, Washington","00","53","033","005802","3",,,,12293.6,4962,2239.6,3884.9,1226.1
"530330059001","530330059001","530330059001, 53033005900, King, Washington","00","53","033","005900","1",,,,9978.1,3999.7,1884.2,3196.4,887.3
"530330059002","530330059002","530330059002, 53033005900, King, Washington","00","53","033","005900","2",,,,9382.7,3808.5,1618.4,2923.7,1112.1
"530330059003","530330059003","530330059003, 53033005900, King, Washington","00","53","033","005900","3",,,,2046.1,848.1,394.9,648,155.9
"530330059004","530330059004","530330059004, 53033005900, King, Washington","00","53","033","005900","4",,,,10516.5,4240.3,1874.5,3315.6,1143.2
"530330059005","530330059005","530330059005, 53033005900, King, Washington","00","53","033","005900","5",,,,7904.4,3197.6,1379,2468.1,930.9
"530330060001","530330060001","530330060001, 53033006000, King, Washington","00","53","033","006000","1",,,,12790.1,5109.4,2337.9,4078.5,1255.9
"530330060002","530330060002","530330060002, 53033006000, King, Washington","00","53","033","006000","2",,,,9272.5,3804,1566.3,2873.1,1092.1
"530330060003","530330060003","530330060003, 53033006000, King, Washington","00","53","033","006000","3",,,,9025.1,3693.4,1578,2821.4,981.1
"530330060004","530330060004","530330060004, 53033006000, King, Washington","00","53","033","006000","4",,,,7856.2,3144.2,1477.6,2503.8,707.9
"530330061001","530330061001","530330061001, 53033006100, King, Washington","00","53","033","006100","1",,,,9843.9,3950.6,1753.2,3109,1061.3
"530330061002","530330061002","530330061002, 53033006100, King, Washington","00","53","033","006100","2",,,,8605.8,3463.9,1536.5,2699,927.7
"530330061003","530330061003","530330061003, 53033006100, King, Washington","00","53","033","006100","3",,,,12086.7,4817.4,2253.3,3834.3,1190.5
