Geo_FIPS,Geo_NAME,Geo_QNAME,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CT,Geo_BG,Geo_CITY,Geo_MSAMSA,Geo_ZC,ORG_OCCUNIT2,ORG_S_1D,ORG_S_1A,ORG_S_2,ORG_S_3_4,ORG_S_5_9,ORG_S_10_19,ORG_S_20_49,ORG_S_50P,ORG_STRAILER,ORG_SOTHER
"530330024003","530330024003","530330024003, 53033002400, King, Washington","00","53","033","002400","3",,,,577,549,14,5,0,9,0,0,0,0,0
"530330025001","530330025001","530330025001, 53033002500, King, Washington","00","53","033","002500","1",,,,704,632,0,66,0,0,0,0,0,6,0
"530330025002","530330025002","530330025002, 53033002500, King, Washington","00","53","033","002500","2",,,,766,472,86,33,30,15,8,122,0,0,0
"530330026001","530330026001","530330026001, 53033002600, King, Washington","00","53","033","002600","1",,,,550,362,18,0,7,13,0,150,0,0,0
"530330026002","530330026002","530330026002, 53033002600, King, Washington","00","53","033","002600","2",,,,643,560,0,0,9,27,47,0,0,0,0
"530330026003","530330026003","530330026003, 53033002600, King, Washington","00","53","033","002600","3",,,,707,459,15,45,9,16,0,40,123,0,0
"530330026004","530330026004","530330026004, 53033002600, King, Washington","00","53","033","002600","4",,,,482,400,31,0,45,6,0,0,0,0,0
"530330027001","530330027001","530330027001, 53033002700, King, Washington","00","53","033","002700","1",,,,738,605,0,0,15,74,44,0,0,0,0
"530330027002","530330027002","530330027002, 53033002700, King, Washington","00","53","033","002700","2",,,,646,601,22,23,0,0,0,0,0,0,0
"530330027003","530330027003","530330027003, 53033002700, King, Washington","00","53","033","002700","3",,,,565,410,0,28,16,0,92,19,0,0,0
"530330027004","530330027004","530330027004, 53033002700, King, Washington","00","53","033","002700","4",,,,757,435,110,0,0,48,42,122,0,0,0
"530330028001","530330028001","530330028001, 53033002800, King, Washington","00","53","033","002800","1",,,,635,527,0,25,27,22,15,19,0,0,0
"530330028002","530330028002","530330028002, 53033002800, King, Washington","00","53","033","002800","2",,,,515,287,41,105,45,0,37,0,0,0,0
"530330028003","530330028003","530330028003, 53033002800, King, Washington","00","53","033","002800","3",,,,621,306,6,0,66,76,42,125,0,0,0
"530330028004","530330028004","530330028004, 53033002800, King, Washington","00","53","033","002800","4",,,,747,496,52,32,14,96,57,0,0,0,0
"530330029001","530330029001","530330029001, 53033002900, King, Washington","00","53","033","002900","1",,,,724,424,29,30,0,70,149,0,0,22,0
"530330029002","530330029002","530330029002, 53033002900, King, Washington","00","53","033","002900","2",,,,739,681,0,0,20,0,30,0,0,8,0
"530330029003","530330029003","530330029003, 53033002900, King, Washington","00","53","033","002900","3",,,,730,592,24,34,0,49,31,0,0,0,0
"530330030001","530330030001","530330030001, 53033003000, King, Washington","00","53","033","003000","1",,,,838,801,0,0,14,23,0,0,0,0,0
"530330030002","530330030002","530330030002, 53033003000, King, Washington","00","53","033","003000","2",,,,685,547,20,50,31,19,18,0,0,0,0
"530330030003","530330030003","530330030003, 53033003000, King, Washington","00","53","033","003000","3",,,,723,603,16,18,32,54,0,0,0,0,0
"530330030004","530330030004","530330030004, 53033003000, King, Washington","00","53","033","003000","4",,,,668,476,49,0,18,70,55,0,0,0,0
"530330031001","530330031001","530330031001, 53033003100, King, Washington","00","53","033","003100","1",,,,555,457,0,50,7,0,41,0,0,0,0
"530330031002","530330031002","530330031002, 53033003100, King, Washington","00","53","033","003100","2",,,,609,575,0,0,0,34,0,0,0,0,0
"530330031003","530330031003","530330031003, 53033003100, King, Washington","00","53","033","003100","3",,,,642,373,9,0,0,0,115,0,145,0,0
"530330031004","530330031004","530330031004, 53033003100, King, Washington","00","53","033","003100","4",,,,673,673,0,0,0,0,0,0,0,0,0
"530330031005","530330031005","530330031005, 53033003100, King, Washington","00","53","033","003100","5",,,,681,635,18,0,0,17,0,0,0,11,0
"530330032001","530330032001","530330032001, 53033003200, King, Washington","00","53","033","003200","1",,,,541,285,0,0,16,115,125,0,0,0,0
"530330032002","530330032002","530330032002, 53033003200, King, Washington","00","53","033","003200","2",,,,757,268,61,80,90,107,72,57,22,0,0
"530330032003","530330032003","530330032003, 53033003200, King, Washington","00","53","033","003200","3",,,,810,60,275,39,49,113,36,139,99,0,0
"530330032004","530330032004","530330032004, 53033003200, King, Washington","00","53","033","003200","4",,,,866,265,22,41,29,159,28,198,124,0,0
"530330032005","530330032005","530330032005, 53033003200, King, Washington","00","53","033","003200","5",,,,362,254,20,21,0,0,0,40,27,0,0
"530330032006","530330032006","530330032006, 53033003200, King, Washington","00","53","033","003200","6",,,,913,389,20,181,59,16,15,18,215,0,0
"530330032007","530330032007","530330032007, 53033003200, King, Washington","00","53","033","003200","7",,,,575,549,0,0,0,15,11,0,0,0,0
"530330033001","530330033001","530330033001, 53033003300, King, Washington","00","53","033","003300","1",,,,646,518,29,57,42,0,0,0,0,0,0
